,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Pvr Machilipatnam, Machilipatnam, Andhra Pradesh",CINEMA000140,locality,South,Andhra Pradesh,Machilipatnam,,521002
N,"Pvr Sreekanya, Narasipatnam, Narasipatnam, Andhra Pradesh",CINEMA000141,locality,South,Andhra Pradesh,Narasipatnam,,531116
N,"Pvr Inox Laila, Vijaywada, Andhra Pradesh",CINEMA000142,locality,South,Andhra Pradesh,Vijaywada,,520002
N,"Pvr Inox Lepl Icon, Vijaywada, Andhra Pradesh",CINEMA000143,locality,South,Andhra Pradesh,Vijaywada,,520008
N,"Pvr Inox Urvashi Theatre, Vijaywada, Andhra Pradesh",CINEMA000144,locality,South,Andhra Pradesh,Vijaywada,,520003
N,"Ripples Mall - Pvr Vijayawada - Bandar Road, Vijaywada, Andhra Pradesh",CINEMA000145,locality,South,Andhra Pradesh,Vijaywada,,520010
N,"Pvr Inox Beach Road, Vizag, Andhra Pradesh",CINEMA000146,locality,South,Andhra Pradesh,Vizag,,530002
N,"Pvr Inox Chitralayaa, Vizag, Andhra Pradesh",CINEMA000147,locality,South,Andhra Pradesh,Vizag,,530020
N,"Pvr Inox Cmr Central, Vizag, Andhra Pradesh",CINEMA000148,locality,South,Andhra Pradesh,Vizag,,530013
N,"Pvr Inox Gajuwaka, Vizag, Andhra Pradesh",CINEMA000149,locality,South,Andhra Pradesh,Vizag,,530026
N,"Pvr Inox Ncs Mall, Vizianagaram, Andhra Pradesh",CINEMA000150,locality,South,Andhra Pradesh,Vizianagaram,,535003
N,"Pvr Bhartiya Mall Of Bangalore, Bangalore, Karnataka",CINEMA000151,locality,South,Karnataka,Bangalore,,560064
N,"Pvr Forum Falcon City Bangalore, Bangalore, Karnataka",CINEMA000152,locality,South,Karnataka,Bangalore,,560062
N,"Pvr Forum Mall , Bangalore, Karnataka",CINEMA000153,locality,South,Karnataka,Bangalore,,560095
N,"Pvr Global Mall, Bangalore, Karnataka",CINEMA000154,locality,South,Karnataka,Bangalore,,560026
N,"Pvr Inox Brooke Field Mall, Bangalore, Karnataka",CINEMA000155,locality,South,Karnataka,Bangalore,,560037
N,"Pvr Inox Central, Jp Nagar, Bangalore, Karnataka",CINEMA000156,locality,South,Karnataka,Bangalore,Jp Nagar,560041
N,"Pvr Inox Forum Neighbourhood Mall, Whitefield, Bangalore, Karnataka",CINEMA000157,locality,South,Karnataka,Bangalore,Whitefield,560066
N,"Pvr Inox Garuda Central, Yelahanka, Bangalore, Karnataka",CINEMA000158,locality,South,Karnataka,Bangalore,Yelahanka,560064
N,"Pvr Inox Garuda Mall, Magrath Road, Bangalore, Karnataka",CINEMA000159,locality,South,Karnataka,Bangalore,Magrath Road,560025
N,"Pvr Inox Lido Mall, Ulsoor, Bangalore, Karnataka",CINEMA000160,locality,South,Karnataka,Bangalore,Ulsoor,560008
N,"Pvr Inox Mantri Square Mall, Malleshwaram, Bangalore, Karnataka",CINEMA000161,locality,South,Karnataka,Bangalore,Malleshwaram,560003
N,"Pvr Inox Phoenix Mall Of Asia- Bangalore, Bangalore, Karnataka",CINEMA000162,locality,South,Karnataka,Bangalore,,560092
N,"Pvr Inox Rmz Galleria, Bangalore, Karnataka",CINEMA000163,locality,South,Karnataka,Bangalore,,560064
N,"Pvr Inox Sbr Horizon Mall, Seegehalli, Bangalore, Karnataka",CINEMA000164,locality,South,Karnataka,Bangalore,Seegehalli,560115
N,"Pvr Inox Shree Garuda Swagath Mall, Jayanagar, Bangalore, Karnataka",CINEMA000165,locality,South,Karnataka,Bangalore,Jayanagar,560011
N,"Pvr Orion Mall , Bangalore, Karnataka",CINEMA000166,locality,South,Karnataka,Bangalore,,560055
N,"Pvr Orion Uptown Mall - Bangalore, Bangalore, Karnataka",CINEMA000167,locality,South,Karnataka,Bangalore,,560049
N,"Pvr Phoenix Market City - White Field, Bangalore, Karnataka",CINEMA000168,locality,South,Karnataka,Bangalore,,560048
N,"Pvr Regalia-Elements, Bangalore, Karnataka",CINEMA000169,locality,South,Karnataka,Bangalore,,560077
N,"Pvr Soul Space Spirit - Bangalore, Bangalore, Karnataka",CINEMA000170,locality,South,Karnataka,Bangalore,,560103
N,"Pvr Vaishnavi, Bangalore, Karnataka",CINEMA000171,locality,South,Karnataka,Bangalore,,560022
N,"Pvr Vega City, Bangalore, Karnataka",CINEMA000172,locality,South,Karnataka,Bangalore,,560076
N,"Pvr Vr Mall Whitefield, Bangalore, Karnataka",CINEMA000173,locality,South,Karnataka,Bangalore,,560048
N,"Pvr-Aura Mall, Bangalore, Karnataka",CINEMA000174,locality,South,Karnataka,Bangalore,,560066
N,"Pvr-Thecinema-Bangalore, Bangalore, Karnataka",CINEMA000175,locality,South,Karnataka,Bangalore,,
N,"Pvr Inox Chandan Cinema, Belgaum, Karnataka",CINEMA000176,locality,South,Karnataka,Belgaum,,590001
N,"Pvr Inox Smart City Mall Dharwad , Dharwad, Karnataka",CINEMA000177,locality,South,Karnataka,Dharwad,,580004
N,"Pvr Inox Orchid Mall, Kalaburagi, Gulbarga, Karnataka",CINEMA000178,locality,South,Karnataka,Gulbarga,Kalaburagi,585102
N,"Pvr Mangalore, Mangalore, Karnataka",CINEMA000179,locality,South,Karnataka,Mangalore,,575001
